customer_id,first_name,last_name,age,province,city,employment_status,income,customer_since,Start_Year,Start_Month,Start_Day,Weekday,cus_trans_count,cus_total_trans_val,customer_avg_trans,cus_max_trans,customer_segment
1,Emma,Naidoo,42,Free State,Bloemfontein,Employed,11418.82,2022-11-24,2022,11,24,3,20.0,17160.3,858.015,3553.98,Middle Income
2,Amelia,Mokoena,49,Mpumalanga,Mbombela,Nan,31336.45,2024-12-25,2024,12,25,2,15.0,14705.83,980.3886666666666,2131.47,High Income
3,Nomsa,Jacobs,34,North West,Rustenburg,Employed,11351.46,2020-03-18,2020,3,18,2,8.0,7736.72,967.09,1772.57,Middle Income
4,Sipho,Dlamini,35,Kwazulu-Natal,Durban,Retired,30291.15,2025-10-21,2025,10,21,1,42.0,32623.01,776.7383333333333,2430.0,High Income
5,Emma,Molefe,33,Kwazulu-Natal,Durban,Employed,28803.42,2013-10-02,2013,10,2,2,12.0,9224.98,768.7483333333333,1917.57,Middle Income
23835,Sample,Customer,29,Limpopo,Tzaneen,Employed,42743.69,2024-11-08,2024,11,8,4,48.0,62500.66,1302.097083333333,9173.48,High Income
7,Mia,Mokoena,59,Gauteng,Pretoria,Employed,35637.84,2016-08-12,2016,8,12,4,25.0,24013.88,960.5552,2889.14,High Income
8,Sipho,Khumalo,39,Limpopo,Thohoyandou,Employed,50102.09,2012-07-03,2012,7,3,1,6.0,3758.65,626.4416666666667,1279.24,High Income
9,Oliver,Mabena,18,Kwazulu-Natal,Durban,Employed,26614.2,2018-07-25,2018,7,25,2,12.0,16457.02,1371.4183333333333,4851.19,Middle Income
10,Ava,Molefe,47,Western Cape,George,Retired,15739.35,2025-03-28,2025,3,28,4,40.0,37697.31,942.43275,6009.06,Middle Income
11,Naledi,Molefe,23,Western Cape,George,Employed,127422.83,2016-10-24,2016,10,24,0,33.0,29768.04,902.0618181818182,10946.36,Very High Income
12,Bongani,Jacobs,43,Limpopo,Thohoyandou,Student,9990.9,2025-11-04,2025,11,4,1,13.0,14093.57,1084.1207692307692,3115.67,Low Income
13,Lucas,Mokoena,-4,Western Cape,Paarl,Employed,40273.86,2012-04-22,2012,4,22,6,16.0,33314.92,2082.1825,17162.69,High Income
