customer_id,cus_trans_count,cus_total_trans_val,customer_avg_trans,cus_max_trans,Unnamed: 0,first_name,last_name,age,province,city,employment_status,income,customer_since,Start_Year,Start_Month,Start_Day,Weekday
74688,15,22841.99,1522.7993333333334,8085.05,74687,Amahle,Mahlangu,40,Western Cape,Paarl,Employed,70840.56,2021-03-06,2021,3,6,5
21183,30,16560.8,552.0266666666666,1854.24,21182,Naledi,Khumalo,19,Kwazulu-Natal,Durban,Employed,15707.96,2022-02-25,2022,2,25,4
93719,7,8571.93,1224.5614285714287,1999.25,93718,Kabelo,Mabena,42,Limpopo,Thohoyandou,Employed,27513.29,2016-06-16,2016,6,16,3
6909,22,41141.52,1870.0690909090908,8467.06,6908,Lucas,Sithole,39,Kwazulu-Natal,Richards Bay,Self-employed,58546.46,2018-10-18,2018,10,18,3
45524,32,28493.75,890.4296875,4172.18,45523,Lerato,Botha,36,Gauteng,Midrand,Employed,7851.91,2018-04-04,2018,4,4,2
4297,22,14579.28,662.6945454545455,1874.2,4296,Kabelo,Mahlangu,41,Gauteng,Johannesburg,Employed,55126.17,2025-02-18,2025,2,18,1
23006,9,3926.7999999999997,436.3111111111111,1220.37,23005,Lucas,Jacobs,48,Free State,Bethlehem,Nan,0.0,2015-12-07,2015,12,7,0
20093,33,759666.0,23020.18181818182,726214.56,20092,Thabo,Adams,51,Kwazulu-Natal,Nan,Employed,53053.74,2015-07-27,2015,7,27,0
93684,37,41913.17,1132.7883783783784,4273.36,93683,Amahle,Van Wyk,27,Kwazulu-Natal,Richards Bay,Student,16121.21,2012-05-13,2012,5,13,6
71906,17,17216.87,1012.7570588235294,3227.99,71905,Mia,Williams,40,Free State,Bethlehem,Employed,54980.54,2012-02-04,2012,2,4,5
21626,50,621583.2,12431.663999999999,572909.11,21625,Ava,Sithole,49,Gauteng,Midrand,Employed,47021.61,2017-05-09,2017,5,9,1
32119,6,21542.260000000002,3590.376666666667,17636.71,32118,Ava,Nkosi,32,Free State,Welkom,Employed,11009.24,2013-04-12,2013,4,12,4
16723,7,4763.84,680.5485714285714,2267.17,16722,Amahle,Nkosi,37,Gauteng,Pretoria,Retired,28437.14,2014-09-08,2014,9,8,0
38573,8,3079.2599999999998,384.90749999999997,1143.01,38572,Bongani,Mabena,45,Kwazulu-Natal,Durban,Self-employed,26756.83,2015-07-16,2015,7,16,3
14010,28,47441.06,1694.3235714285713,8717.24,14009,Nomsa,Naidoo,27,North West,Mahikeng,Student,30959.51,2020-08-08,2020,8,8,5
8295,7,5058.0,722.5714285714286,1686.79,8294,Amelia,Mokoena,51,Kwazulu-Natal,Pietermaritzburg,Employed,19012.5,2017-02-23,2017,2,23,3
52416,13,15942.97,1226.3823076923077,3168.45,52415,Noah,Jacobs,45,Gauteng,Midrand,Employed,36454.58,2024-09-29,2024,9,29,6
87682,10,3669.76,366.976,1327.21,87681,Zanele,Mahlangu,43,North West,Mahikeng,Self-employed,25745.67,2024-12-22,2024,12,22,6
75852,34,29270.93,860.9097058823529,5050.0,75851,Lerato,Mahlangu,38,Kwazulu-Natal,Richards Bay,Employed,13551.82,2025-06-18,2025,6,18,2
44442,8,11462.27,1432.78375,6264.85,44441,Oliver,Mthembu,37,Gauteng,Soweto,Retired,15335.52,2016-04-30,2016,4,30,5
73960,23,22009.0,956.9130434782609,4316.13,73959,Sipho,Khumalo,37,Gauteng,Soweto,Employed,9415.14,2012-06-07,2012,6,7,3
44145,36,44922.81,1247.8558333333333,4690.42,44144,Lucas,Molefe,66,Eastern Cape,Gqeberha,Employed,9270.69,2018-11-27,2018,11,27,1
95986,10,11904.779999999999,1190.4779999999998,4597.9,95985,Bongani,Sithole,34,Western Cape,Paarl,Employed,15696.64,2019-08-26,2019,8,26,0
77792,9,17505.32,1945.0355555555554,7607.84,77791,Oliver,Botha,44,Eastern Cape,Mthatha,Unemployed,11427.0,2018-01-06,2018,1,6,5
86774,19,26059.85,1371.5710526315788,4540.01,86773,Kabelo,Pillay,43,Northern Cape,Upington,Self-employed,31607.53,2015-12-14,2015,12,14,0
87117,10,6581.62,658.162,2460.38,87116,Ava,Molefe,45,North West,Rustenburg,Retired,31893.31,2019-10-12,2019,10,12,5
24614,27,586045.76,21705.39851851852,558961.13,24613,Liam,Williams,18,Eastern Cape,East London,Self-employed,19731.96,2021-04-02,2021,4,2,4
65284,13,14817.03,1139.7715384615385,5223.76,65283,Sophia,Nkosi,24,Gauteng,Johannesburg,Employed,28446.0,2024-05-07,2024,5,7,1
56458,33,45894.53,1390.7433333333333,7395.42,56457,Lucas,Molefe,18,Kwazulu-Natal,Durban,Employed,18047.42,2015-12-28,2015,12,28,0
28176,6,2946.26,491.04333333333335,1859.28,28175,Naledi,Molefe,29,Mpumalanga,Secunda,Self-employed,0.0,2012-12-06,2012,12,6,3
92363,23,31774.32,1381.4921739130434,5810.31,92362,Lucas,Botha,75,Gauteng,Midrand,Employed,63048.43,2023-10-02,2023,10,2,0
73489,43,42036.0,977.5813953488372,12629.73,73488,Sibusiso,Nkosi,18,Kwazulu-Natal,Richards Bay,Student,16801.3,2023-09-12,2023,9,12,1
45403,13,17170.47,1320.8053846153848,5592.19,45402,Mia,Williams,58,Gauteng,Pretoria,Retired,8350.62,2014-08-11,2014,8,11,0
38899,22,23941.73,1088.2604545454544,4322.0,38898,Kabelo,Dlamini,27,North West,Rustenburg,Student,21342.53,2023-12-14,2023,12,14,3
65529,48,44233.11,921.523125,3835.05,65528,Emma,Naidoo,45,Limpopo,Thohoyandou,Retired,27644.06,2013-02-20,2013,2,20,2
4546,43,49488.32,1150.8911627906978,7031.1,4545,Lucas,Ndlovu,47,Northern Cape,Upington,Nan,13528.38,2025-01-17,2025,1,17,4
12336,3,2695.85,898.6166666666667,1596.14,12335,Sipho,Molefe,41,Gauteng,Midrand,Employed,7734.57,2020-02-03,2020,2,3,0
7240,11,12063.720000000001,1096.7018181818182,4604.67,7239,Sophia,Van Wyk,28,Kwazulu-Natal,Durban,Retired,43110.42,2015-06-01,2015,6,1,0
92857,4,6683.28,1670.82,4702.25,92856,Lerato, Williams ,37,Kwazulu-Natal,Pietermaritzburg,Student,54169.54,2025-12-17,2025,12,17,2
53394,21,23871.71,1136.7480952380952,5889.72,53393,Mia,Molefe,65,Eastern Cape,Gqeberha,Employed,28289.57,2014-08-30,2014,8,30,5
21401,6,12941.960000000001,2156.9933333333333,8033.45,21400,Noah,Sithole,46,Gauteng,Johannesburg,Employed,18915.16,2023-08-01,2023,8,1,1
19587,4,3791.89,947.9725,1743.08,19586,Liam,Van Wyk,35,North West,Mahikeng,Employed,28846.8,2021-11-01,2021,11,1,0
8944,47,50399.19,1072.3231914893618,6387.01,8943,Lucas,Nkosi,64,Gauteng,Johannesburg,Self-employed,15506.96,2025-07-15,2025,7,15,1
52946,22,20372.96,926.0436363636363,3336.09,52945,Zanele,Mokoena,23,Eastern Cape,Mthatha,Student,9793.98,2019-03-31,2019,3,31,6
35302,4,5211.65,1302.9125,2506.49,35301,Bongani,Pillay,20,Kwazulu-Natal,Pietermaritzburg,Employed,26840.24,2021-01-30,2021,1,30,5
86926,27,41670.84,1543.3644444444444,8282.0,86925,Zanele,Williams,44,Mpumalanga,Secunda,Employed,24846.45,2015-10-26,2015,10,26,0
7024,9,5519.39,613.2655555555556,1337.41,7023,Lucas,Naidoo,35,Gauteng,Soweto,Employed,16447.44,2017-08-31,2017,8,31,3
38376,6,2926.42,487.7366666666667,929.35,38375,Ayanda,Naidoo,39,Western Cape,Paarl,Employed,22538.91,2015-01-10,2015,1,10,5
44927,12,23290.73,1940.8941666666667,6234.38,44926,Mia,Van Wyk,20,Gauteng,Midrand,Nan,16116.08,2023-04-10,2023,4,10,0
23287,8,7313.79,914.22375,4679.33,23286,Emma,Naidoo,18,Kwazulu-Natal,Pietermaritzburg,Employed,22108.0,2014-02-03,2014,2,3,0
37877,17,14988.880000000001,881.6988235294118,3607.97,37876,Anele,Van Wyk,26,Limpopo,Tzaneen,Self-employed,0.0,2016-07-14,2016,7,14,3
36842,7,5833.91,833.4157142857142,1729.9,36841,Oliver,Nkosi,65,Northern Cape,Upington,Employed,9728.75,2020-02-19,2020,2,19,2
37974,5,3255.5,651.1,1611.68,37973,Kabelo,Williams,56,Gauteng,Midrand,Self-employed,3000.0,2016-12-02,2016,12,2,4
83745,12,22300.85,1858.4041666666665,5700.56,83744,Noah,Jacobs,50,North West,Klerksdorp,Employed,21431.76,2021-09-12,2021,9,12,6
65537,26,21816.29,839.088076923077,2943.18,65536,Ava,Mthembu,20,Gauteng,Soweto,Self-employed,22282.96,2013-02-03,2013,2,3,6
13019,10,8137.21,813.721,1412.34,13018,Emma,Adams,50,Gauteng,Pretoria,Employed,25822.63,2013-09-06,2013,9,6,4
71557,21,29105.190000000002,1385.9614285714288,5486.39,71556,Emma,Botha,49,Gauteng,Pretoria,Employed,47016.98,2023-02-13,2023,2,13,0
78321,19,40122.990000000005,2111.736315789474,18138.56,78320,Mia,Botha,45,Kwazulu-Natal,Richards Bay,Employed,36076.73,2015-03-08,2015,3,8,6
98793,7,7979.099999999999,1139.8714285714284,2623.28,98792,Sophia,Botha,54,Western Cape,Stellenbosch,Retired,18230.12,2025-11-28,2025,11,28,4
88466,11,7881.719999999999,716.52,2193.85,88465,Zanele,Khumalo,45,Limpopo,Polokwane,Employed,23174.87,2019-10-27,2019,10,27,6
