customer_id,first_name,last_name,age,province,city,employment_status,income,customer_since
1,Emma,Naidoo,42,Free State,Bloemfontein,Employed,11418.82,2022-11-24
2,Amelia,Mokoena,49,Mpumalanga,Mbombela,,31336.45,2024-12-25
3,Nomsa,Jacobs,34,North West,Rustenburg,Employed,11351.46,2020-03-18
4,Sipho,Dlamini,35,KwaZulu-Natal,Durban,Retired,30291.15,2025-10-21
5,Emma,MOLEFE,33,KwaZulu-Natal,Durban,Employed,"28,803.42",2013-02-10
23835,Sample,Customer,29,Limpopo,Tzaneen,Employed,42743.69,2024-08-11
7,Mia,Mokoena,59,Gauteng,Pretoria,Employed,35637.84,2016-12-08
8,Sipho,Khumalo,39,Limpopo,Thohoyandou,Employed,50102.09,2012-03-07
9,Oliver,Mabena,18,KwaZulu-Natal,Durban,Employed,26614.2,2018-07-25
10,Ava,Molefe,47,Western Cape,George, Retired ,15739.35,2025-03-28
11,Naledi,Molefe,23,Western Cape,George,Employed,127422.83,2016-10-24
12,Bongani,Jacobs,43,Limpopo,Thohoyandou,Student,9990.9,2025-04-11
13,Lucas,Mokoena,-4,Western Cape,Paarl,Employed,40273.86,2012-04-22
14,Anele,Molefe,37,Gauteng,Midrand,Self-employed,45374.26,2025-10-29
15,Anele,Mahlangu,33,Gauteng,Johannesburg,Employed,3913.24,2012-07-28
16,Amelia,Nkosi,49,Gauteng,Johannesburg,Employed,26768.75,2018-08-04
17,Ayanda,Van Wyk,24,Gauteng,Johannesburg,Self-employed,6756.5,2013-11-15
18,Amahle,Khumalo,35,Free State,Bloemfontein,Employed,13589.95,2012-10-18
19,Kabelo,Naidoo,51,Western Cape,Paarl,Employed,"23,417.93",22/12/2025
20,Bongani,Botha,27,Limpopo,Tzaneen,Employed,11124.33,11 Feb 2014
21,Amahle,Van Wyk,53,Limpopo,Tzaneen,Self-employed,16165.34,2016-03-10
22,Kabelo,Khumalo,21,Gauteng,Midrand,Employed,26752.32,2015-10-01
23,Kabelo,Mahlangu,31,gauteng,Pretoria,Unemployed,16149.34,2019-02-21
24,Amahle,Sithole,31,KwaZulu-Natal,Pietermaritzburg,Self-employed,29470.67,2019-03-11
25,Nomsa,Ndlovu,47,Western Cape,Cape Town, Employed ,44280.21,2018-12-21
26,Mia,Williams,18,Gauteng,Pretoria,self-employed,29107.91,2014-07-14
27,Mia,Williams,18,North  West,Rustenburg,Self-employed,22746.53,2023-09-28
28,Sipho,Mabena,53,Northern Cape,Kuruman,Employed,49710.92,26-12-2013
29, Amahle ,Nkosi,25,Free State,Bethlehem,Self-employed,21905.06,2024-04-28
30,Amahle,Mokoena,20,Gauteng,Pretoria,Employed,17303.24,2017-03-02
31,Nomsa,Mokoena,33,EASTERN CAPE,East London,Student,29498.94,2024-09-23
32,Lerato,Mthembu,18,Eastern Cape,Gqeberha,Self-employed,6467.8,2022-09-20
33,Liam,Van Wyk,18,Gauteng,Midrand,Employed,48560.92,2022-07-25
34,Liam,Khumalo,56,Eastern Cape,Mthatha,Employed,11132.51,2025-05-28
35,Lucas,Mokoena,59,Western Cape,Paarl,Employed,12300.29,2016-04-30
36,Kabelo,Mahlangu,48,Gauteng,Midrand,Unemployed,,2022-10-04
