Unnamed: 0,customer_id,first_name,last_name,age,province,city,employment_status,income,customer_since,Start_Year,Start_Month,Start_Day,Weekday
0,1,Emma,Naidoo,42,Free State,Bloemfontein,Employed,11418.82,2022-11-24,2022,11,24,3
1,2,Amelia,Mokoena,49,Mpumalanga,Mbombela,Nan,31336.45,2024-12-25,2024,12,25,2
2,3,Nomsa,Jacobs,34,North West,Rustenburg,Employed,11351.46,2020-03-18,2020,3,18,2
3,4,Sipho,Dlamini,35,Kwazulu-Natal,Durban,Retired,30291.15,2025-10-21,2025,10,21,1
4,5,Emma,Molefe,33,Kwazulu-Natal,Durban,Employed,28803.42,2013-10-02,2013,10,2,2
5,23835,Sample,Customer,29,Limpopo,Tzaneen,Employed,42743.69,2024-11-08,2024,11,8,4
6,7,Mia,Mokoena,59,Gauteng,Pretoria,Employed,35637.84,2016-08-12,2016,8,12,4
7,8,Sipho,Khumalo,39,Limpopo,Thohoyandou,Employed,50102.09,2012-07-03,2012,7,3,1
8,9,Oliver,Mabena,18,Kwazulu-Natal,Durban,Employed,26614.2,2018-07-25,2018,7,25,2
9,10,Ava,Molefe,47,Western Cape,George,Retired,15739.35,2025-03-28,2025,3,28,4
10,11,Naledi,Molefe,23,Western Cape,George,Employed,127422.83,2016-10-24,2016,10,24,0
11,12,Bongani,Jacobs,43,Limpopo,Thohoyandou,Student,9990.9,2025-11-04,2025,11,4,1
12,13,Lucas,Mokoena,-4,Western Cape,Paarl,Employed,40273.86,2012-04-22,2012,4,22,6
13,14,Anele,Molefe,37,Gauteng,Midrand,Self-employed,45374.26,2025-10-29,2025,10,29,2
14,15,Anele,Mahlangu,33,Gauteng,Johannesburg,Employed,3913.24,2012-07-28,2012,7,28,5
15,16,Amelia,Nkosi,49,Gauteng,Johannesburg,Employed,26768.75,2018-04-08,2018,4,8,6
16,17,Ayanda,Van Wyk,24,Gauteng,Johannesburg,Self-employed,6756.5,2013-11-15,2013,11,15,4
17,18,Amahle,Khumalo,35,Free State,Bloemfontein,Employed,13589.95,2012-10-18,2012,10,18,3
18,19,Kabelo,Naidoo,51,Western Cape,Paarl,Employed,23417.93,2025-12-22,2025,12,22,0
19,20,Bongani,Botha,27,Limpopo,Tzaneen,Employed,11124.33,2014-02-11,2014,2,11,1
20,21,Amahle,Van Wyk,53,Limpopo,Tzaneen,Self-employed,16165.34,2016-10-03,2016,10,3,0
21,22,Kabelo,Khumalo,21,Gauteng,Midrand,Employed,26752.32,2015-01-10,2015,1,10,5
22,23,Kabelo,Mahlangu,31,Gauteng,Pretoria,Unemployed,16149.34,2019-02-21,2019,2,21,3
